Company ID,name,Website,Number of Locations Band,Years in Business Band,Employee Band,Revenue Band
115081638,Rivus Tech,rivustech.com.br, 1-9,-, 1-9, <$100K
118620585,jp2b - consultoria em negocios e ti,jp2b.com.br, 1-9, 09-10, 1-9, <$100K
15204781,Computer-fragen24,computer-fragen24.com, 1-9, 04-05, 1-9, <$100K
12452269,sostic.com.mx,sostic.com.mx, 1-9, 11-15, 1-9, $500K-$999K
111542702,Network Service,network-service.it, 1-9, 26-30, 10-99, $1M-$2.49M
12452272,sempremais comunicacao,sempremaiscomunicacao.com.br, 1-9, 11-15, 1-9, <$100K
13369777,Lauterbach,lauterbach.com, 10-29, 31+, 100-499, $10M-$24.9M
12583348,CAMPELLO IT,campello.com.br, 1-9, 31+, 100-499, $10M-$24.9M
118620596,mawi,mawi.io, 1-9, 04-05, 1-9, <$100K
107348405,OMEGA BH,omegabh.com.br, 1-9, 16-20, 1-9, $100K-$499K
115212731,wi-technology,witechnologyec.com, 1-9,-, 1-9, <$100K
12714429,Barchart.com,barchart.com, 10-29, 31+, 100-499, $10M-$24.9M
15204814,Digitalcomputadores,digitalcomputadores.com, 1-9, 16-20, 1-9, <$100K
107348433,OmnitechTrading S.A.C.,omnitechtrading.com, 1-9, 16-20, 1-9, $100K-$499K
114950611,Digital Republic,digitalrepublic.com.br, 1-9, 09-10, 10-99, $1M-$2.49M
115081693,System Associates,sa.co.kr, 1-9,-, 10-99, $10M-$24.9M
15204830,Cybersky Holdings,cyberskyholdings.com, 1-9, 06-08, 1-9, $500K-$999K
13369824,Ans Advanced Networks Solutions,ansnetsolutions.com, 1-9, 26-30, 1-9, $500K-$999K
118620640,intelite,intelite.gt, 1-9, 31+, 1-9, <$100K
115081700,Omega Networks Norte,ongroup.com.mx, 1-9, 04-05, 1-9, <$100K
118620658,laarberg informatica,laarberg.com.br, 1-9, 21-25, 1-9, <$100K
12452339,NDS Informatica Ltda,ndsinformatica.com.br, 1-9, 04-05, 10-99, $1M-$2.49M
12845558,Redcon,redcon.com.br, 1-9, 26-30, 10-99, $1M-$2.49M
115212793,work wise consulting,workwise.com.br, 1-9, 21-25, 1-9, <$100K
115343873,DOUTOR DA MODA,netaovivo.com, 1-9, 16-20, 1-9, <$100K
12845571,Efeyce Integrales S.A.S,efeyceintegrales.com, 1-9, 16-20, 10-99, $1M-$2.49M
13369862,Convene Technologies,convene-tech.com, 10-29, 16-20, 10-99, $5M-$9.9M
12583432,Motiva Networks,motiva.net, 1-9, 16-20, 10-99, $1M-$2.49M
15204874,dpcs.co,dpcs.co, 1-9, 11-15, 1-9, $500K-$999K
93585931,BST Security,bstsecurity.com, 1-9, 11-15, 1-9, $2.5M-$4.9M
115081739,DESIGN THINKING SOLUTIONS GROUP,dtsolutionsgroup.com, 1-9,-, 1-9, <$100K
12845579,Servicios Y Sistemas,serviciosysistemas.com.ar, 1-9, 04-05, 1-9, <$100K
115212816,"WOWSYSTEMS - INFORMATICA, LDA",wowsystems.co.uk, 1-9, 16-20, 10-99, $100K-$499K
118620692,TURBO INFORMATICA,informaticaturbo.com.br, 1-9, 11-15, 1-9, <$100K
107348503,OKLAHOMA SOLUCIONES INFORMATICAS,oklahomacomputadores.com, 1-9, 02-03, 10-99, $5M-$9.9M
118620698,enterprise security technology,enterprisest.com, 1-9, 06-08, 1-9, <$100K
12583453,DIGITAL SYSTEM PAPELARIA E INFORMATICA,digitalsystem.net.br, 1-9, 06-08, 1-9, $100K-$499K
118620701,lidar peru,lidar.pe, 1-9, 04-05, 1-9, <$100K
12452384,cautiva - digital solutions,cautiva.digital, 1-9, 04-05, 1-9, <$100K
111804976,Corporacion Advisor,advisor.com.ve, 1-9, 26-30, 1-9, <$100K
115081777,DYNAMICSIT,dynamicsit.com.ar, 1-9, 16-20, 1-9, <$100K
118620722,a2softway,a2.com.ve, 1-9, 21-25, 1-9, <$100K
118620723,tallerpc,computallerpc.com.ar, 1-9, 26-30, 1-9, <$100K
13369911,Simplesoftware,simplesoftware.com.ar, 1-9, 04-05, 1-9, <$100K
12583479,Trackdata,trackdata.com.br, 1-9, 16-20, 1-9, <$100K
115081786,egotransforma group,egotransforma.com, 1-9, 04-05, 1-9, <$100K
15204925,Effizienztechnology,effizienztechnology.com, 1-9, 04-05, 1-9, <$100K
111542848,JL Betancourt,jlbetancourt.com, 1-9, 31+, 10-99, $2.5M-$4.9M
111804993,Baroli Technologies,barolit.com, 1-9, 16-20, 10-99, $1M-$2.49M
118620738,bulwark cybersecurity,bulwark.la, 1-9, 02-03, 1-9, <$100K
15204931,Dominfotech,dominfotech.com, 1-9, 11-15, 1-9, <$100K
115081797,ENETWORKS,emira.mx, 1-9, 02-03, 1-9, <$100K
12452421,Concord USA,concordusa.com, 1-9, 21-25, 100-499, $10M-$24.9M
118620744,zionsoft tecnologia,zionsoft.com.br, 1-9, 16-20, 1-9, <$100K
13369929,DF Informatica,dfinformatica.com.br, 1-9, 16-20, 1-9, $500K-$999K
115081802,enterone brasil,enterone.com.br, 1-9, 16-20, 1-9, <$100K
118620747,Fatur,faturagil.com.br, 1-9, 06-08, 1-9, $500K-$999K
111805005,Bestsol Peru Sac,bestsol.pe, 1-9, 11-15, 10-99, $1M-$2.49M
12583502,Innovative Emergency Management,iem.com, 30-49, 31+, 100-499, $10M-$24.9M
13369940,virtual life tech,virtualservices.es, 1-9, 21-25, 1-9, <$100K
118620758,qmc telecom chile,qmctelecom.cl, 1-9, 11-15, 1-9, <$100K
111542872,Jotafi SA,jotafi.com.ar, 1-9, 21-25, 10-99, $1M-$2.49M
111542873,Arxis de Mexico,arxisdemexico.com.mx, 1-9, 11-15, 1-9, $100K-$499K
114950751,Dosbytes,dosbytes.com.mx, 1-9, 16-20, 1-9, <$100K
13107814,Inet Per,i-net.pe, 1-9, 11-15, 10-99, $1M-$2.49M
118620791,qmc telecom colombia,qmctelecom.co, 1-9, 11-15, 1-9, <$100K
12583552,SUBCOM SRL,subcom.it, 1-9, 11-15, 1-9, $500K-$999K
115081860,Hostdime Colombia Sas,hostdime.com.co, 1-9, 21-25," 1,000+", $500M-$999M
12583557,INFOTECH ASSISTENCIA E SUPORTE EM TI,infotechgat.com.br, 1-9, 11-15, 1-9, <$100K
111542917,MICROSYDATOS SAS,microsydatos.com, 1-9, 21-25, 1-9, <$100K
12583560,Wix.com,wix.com, 100+, 16-20," 1,000+", $1B-$4.9B
13369995,softwaresemplice.it,softwaresemplice.it, 1-9, 04-05, 1-9, $500K-$999K
118620811,Powdevs,powdevs.com, 1-9, 06-08, 10-99, $1M-$2.49M
111673997,Webtrim,webtrim.com.au, 1-9, 26-30, 1-9, $500K-$999K
13107862,Business Solutions CR,businesssolutionscr.com, 1-9, 04-05, 1-9, <$100K
15205015,Fherdezsoft TecnologAas,fherdezsoft.com, 1-9, 04-05, 1-9, <$100K
115212958,xela global,xelaglobal.com, 1-9, 16-20, 1-9, <$100K
15205026,Experiensoft,experiensoft.com, 1-9, 06-08, 10-99, $1M-$2.49M
111936174,Tiendas Tec,tiendastec.com, 1-9, 02-03, 1-9, <$100K
12452526,cloud2go.com.br,cloud2go.com.br, 1-9, 09-10, 1-9, $500K-$999K
118620851,FARRESA ELECTRONICA,heidenhain.es, 1-9, 31+, 10-99, $5M-$9.9M
12714676,Krohne,krohne.com, 10-29, 31+, 100-499, $50M-$99M
115344058,next level,nextlevel.pe, 1-9, 09-10, 1-9, <$100K
15205051,Forwardpass,forwardpass.com, 1-9, 11-15, 1-9, $500K-$999K
118620859,Shenzhen World Bridge Electronics,musingsofacodefiend.com, 1-9, 11-15, 1-9, <$100K
12845758,samsarasoluciones.com,samsarasoluciones.com, 1-9, 26-30, 1-9, $500K-$999K
115081921,grupo computacional desarrollador,gcdcr.com, 1-9, 06-08, 1-9, <$100K
107217603,STOR CAD - GRAITEC,graitec.com, 30-49, 31+, 1-9, $1M-$2.49M
12452555,SIRSCOM,sirscom.com.mx, 1-9, 04-05, 10-99, $2.5M-$4.9M
12845776,Meus Tech,meustech.com, 1-9, 11-15, 1-9, <$100K
92013266,Beesion,beesion.com, 1-9, 16-20, 100-499, $10M-$24.9M
115213019,Xolutech,xolutech.com, 1-9, 09-10, 1-9, $500K-$999K
12452577,Transpara,transpara.com, 10-29, 16-20, 1-9, $1M-$2.49M
12845794,Megaweb,megaweb.com.mx, 1-9, 16-20, 1-9, <$100K
118620904,pakke espana,pakke.com, 1-9,-, 1-9, <$100K
92013290,Mercado Consulting,mercadoconsulting.com, 1-9, 16-20, 1-9, $500K-$999K
12452591,Grupo Energy Telecom,energytelecom.com.br, 1-9, 21-25, 10-99, $5M-$9.9M
12714735,MTCenter,mtcenter.com.mx, 1-9, 21-25, 100-499, $10M-$24.9M
13370098,SiviSoft,sivisoft.com, 1-9, 04-05, 10-99, $1M-$2.49M
111805170,eiti gestao de ti,eiti.com.br, 1-9, 21-25, 1-9, <$100K
12714744,EduTech de Centro America,edutechca.com, 1-9, 11-15, 1-9, $500K-$999K
12714745,Atex,atex.com, 30-49, 31+, 100-499, $10M-$24.9M
115081979,Ibs Coral,ibs.ec, 1-9, 16-20, 10-99, $100K-$499K
12583685,Itpccit,pccitint.com, 1-9, 31+, 1-9, <$100K
15205126,Iac Software Solutions,iacsoftware.com, 1-9, 11-15, 1-9, $500K-$999K
111805195,Etics,etics.com.mx, 1-9,-, 1-9, <$100K
12845840,TI Consultores,ticonsultores.cl, 1-9, 11-15, 1-9, $500K-$999K
115082001,servicios de ingenieria cm,ingenieriacm.cl, 1-9,-, 1-9, <$100K
118620949,W. & W. Com. E Servicos De Informatica,nilsat.com.br, 1-9,-, 1-9, <$100K
12845846,tech informatica,techinformaticapel.com.br, 1-9, 11-15, 1-9, <$100K
107217690,GRIENSU,griensu.com, 1-9, 31+, 10-99, $5M-$9.9M
12452635,Estabilis,estabil.is, 1-9, 06-08, 10-99, $1M-$2.49M
118620957,multsoft desenvolvimento de sistemas,multsoft.agr.br, 1-9, 31+, 1-9, <$100K
12452638,Rice Electronics,riceelectronics.com, 10-29, 31+, 100-499, $10M-$24.9M
118620966,Inspira Secure Technology,inspiratec.com.pe, 1-9, 06-08, 1-9, <$100K
12714791,INTERQUATTRI INFORMATICA E TELECOMUNICACOES,interquattri.com.br, 1-9, 21-25, 1-9, $500K-$999K
115082024,iT Consulting Latam,iso.com.gt, 1-9,-, 1-9, <$100K
115082025,IT Tools,it-tools.pe, 1-9, 11-15, 1-9, <$100K
12714792,Garagetech,grgtech.io, 1-9, 06-08, 10-99, $1M-$2.49M
13108011,Truesoft,truesoft.com.br, 1-9, 31+, 1-9, <$100K
13370162,NIMAK,nimak.de, 1-9, 31+, 100-499, $10M-$24.9M
12714802,C-Zentrix,c-zentrix.com, 1-9, 21-25, 100-499, $10M-$24.9M
12845876,KPN Global Carrier Services,ibasis.com, 30-49, 26-30, 10-99, $100M-$499M
111674164,TRADE INFO SOLUCOES EM TI,tradeinfo.com.br, 1-9, 06-08, 1-9, <$100K
13370167,icq24.com,icq24.com, 1-9, 09-10, 1-9, $500K-$999K
12714808,Technology Express SRL,technologyexpress.com.ar, 1-9, 31+, 10-99, $1M-$2.49M
15205177,Informaticaccm,informaticaccm.com, 1-9, 04-05, 1-9, <$100K
111674170,Universal Conversion Technologies,uctcorp.com, 1-9, 31+, 10-99, $500K-$999K
15205179,BU InnoServ,innoservdigital.com, 1-9, 04-05, 100-499, $10M-$24.9M
15205180,Innova Global,innovaglobal.net, 1-9, 04-05, 1-9, <$100K
15205184,Integracion-de-sistemas,integracion-de-sistemas.com, 1-9, 04-05, 1-9, <$100K
107217735,GRADUAL COMERCIO ENGENHARIA E IMPORTACAO,gradualtelecom.com.br, 1-9, 31+, 1-9, $500K-$999K
12583752,R & E Automated,reautomated.com, 10-29, 26-30, 100-499, $10M-$24.9M
15205194,INFO STACK SOLUTIONS,infostacksolutions.com, 1-9, 04-05, 1-9, $100K-$499K
15205196,Info Ware Systems,infoware-systems.com, 1-9, 04-05, 1-9, <$100K
12583765,frc tech,frctech.com.br, 1-9, 04-05, 1-9, <$100K
118621013,CYFORSEC,cyforsec.com, 1-9,-, 1-9, <$100K
13108075,Imaginamos,imaginamos.com, 1-9, 16-20, 10-99, $10M-$24.9M
118621036,Mendupixel,mendupixel.com, 1-9, 11-15, 1-9, $500K-$999K
92144495,soluciones palm,solucionespalm.com, 1-9, 21-25, 1-9, <$100K
114951025,Egs Group,egs.pe, 1-9, 26-30, 10-99, $5M-$9.9M
13370231,eTeam,eteam.io, 10-29, 09-10, 10-99, $1M-$2.49M
12452727,Wired Solutions De Martorelli Matias Y Paleta Pablo,wiredsolutions.com.ar, 1-9, 06-08, 1-9, <$100K
13370234,FAST - Solucoes Tecnologicas,fastsolucoes.com.br, 1-9, 16-20, 10-99, $1M-$2.49M
12583803,Back4App,back4app.com, 1-9, 09-10, 1-9, $500K-$999K
115082107,JVTEC Informatica,jvtecinformatica.com, 1-9,-, 1-9, <$100K
118621050,Rodamsat Informatica Y Telecomunicaciones,rodamsat.com.mx, 1-9, 09-10, 1-9, <$100K
118621051,BCD,bcd.com.ar, 1-9, 31+, 10-99, $1M-$2.49M
115082124,imdr soluciones informaticas,imdr.online, 1-9, 11-15, 1-9, <$100K
118621068,balsystem automacao comercial,balsystem.com.br, 1-9, 31+, 1-9, <$100K
15205263,Inotech Technology Trading Est.,inotechtrd.com, 1-9, 04-05, 1-9, <$100K
15205265,intelik,intelik.eu, 10-29, 11-15, 1-9, <$100K
15205269,Isyscol,isyscol.com, 1-9, 04-05, 1-9, <$100K
118621086,Lexos,lexos.com.br, 1-9, 16-20, 10-99, $1M-$2.49M
12714910,Trabajoenweb,eiposgrados.com, 1-9, 02-03, 1-9, <$100K
12714913,md technologia da informacao,mdtechnology.com.br, 1-9, 04-05, 1-9, <$100K
118621093,Automativa Automacao Industrial,automativa.com.br, 1-9, 09-10, 1-9, $100K-$499K
12583846,ingenio software,ingenio.com.ar, 1-9, 26-30, 1-9, <$100K
12845991,itokii.com,itokii.com, 1-9, 09-10, 1-9, $500K-$999K
13108134,Volteo,volteo.com, 1-9, 21-25, 100-499, $10M-$24.9M
115082161,Infrabout Tecnologia Da Informa,infrabout.com, 1-9, 06-08, 10-99, $1M-$2.49M
118621112,apisec.com.br,apisec.com.br, 1-9, 02-03, 1-9, <$100K
111805369,IT Trust,ittrust.co.za, 1-9, 21-25, 10-99, $1M-$2.49M
118621114,Banyax,banyax.com, 1-9, 06-08, 10-99, $1M-$2.49M
12452797,Uelit,uelit.com.mx, 1-9, 06-08, 1-9, <$100K
13108161,WORLD TECNOLOGIA,worldtecnologia.com.br, 1-9, 16-20, 1-9, <$100K
13108168,General It Solutions,generalit.com.br, 1-9, 06-08, 10-99, $1M-$2.49M
12846025,SmartSolution,smartsolution.com, 1-9, 31+, 10-99, $1M-$2.49M
12452808,Wolk It Services,wolk-it.com, 1-9, 09-10, 10-99, $1M-$2.49M
115082188,huemul solutions,huemulsolutions.com, 1-9, 06-08, 1-9, <$100K
13370318,gsg web support,gsgwebsupport.com, 1-9, 02-03, 1-9, <$100K
12714959,multi - red computacion,multi-red.net, 1-9, 04-05, 1-9, <$100K
92275673,Linx Communications,linx.com, 1-9, 26-30, 10-99, $1M-$2.49M
115082202,IT Xperts - Integrated Technologies Solutions,itxperts.com.do, 1-9, 16-20, 1-9, $500K-$999K
107348955,Abastecedora Olinka de .C.V.,olinkapapelerias.com, 1-9, 16-20, 10-99, $100K-$499K
92144607,atlantic m&a partners,atlanticma.co, 1-9, 02-03, 1-9, <$100K
13108198,Langtech,langtech.com.br, 1-9, 31+, 1-9, <$100K
115082217,24GROUP,24groupltd.com, 1-9,-, 1-9, <$100K
12583922,Telesul,telesul.com.br, 1-9, 04-05, 100-499, $10M-$24.9M
118621173,bhatel telecomunicacoes,bhatel.com.br, 1-9, 31+, 1-9, <$100K
13108214,Boston Consulting Group,bcg.com, 50-99, 31+," 1,000+", $10B-$24.9B
118621174,BELT Solucoes,beltsolucoes.com.br, 1-9, 11-15, 1-9, $500K-$999K
111543294,Aconpiexpress,aconpiexpress.com.co, 1-9, 21-25, 10-99, $1M-$2.49M
12846082,Microware Tecnologia De Informa,microware.com.br, 1-9, 31+, 10-99, $5M-$9.9M
118621186,Beyond Semiconductor,beyondsemi.com, 1-9, 16-20, 10-99, $5M-$9.9M
12583942,SEO James,seojames.com, 1-9, 11-15, 1-9, $500K-$999K
111936519,Microware Group,microware1985.com, 1-9, 31+, 100-499, $100M-$499M
118621190,IDENTI,identi.mx, 1-9,-, 1-9, <$100K
12715015,DataSkill,dataskill.com, 10-29, 31+, 100-499, $10M-$24.9M
118621197,Altrup Ingenieria,altrup.com, 1-9, 16-20, 1-9, $500K-$999K
12452879,Sentinela Security,sentinelasecurity.com.br, 1-9, 21-25, 1-9, $500K-$999K
13370384,Intelpub,intelpub.com.ar, 1-9, 21-25, 1-9, <$100K
15205392,Puerto Vallarta Computers,puertovallartacomputers.com, 1-9, 06-08, 1-9, <$100K
13370386,Info World Tecnologia E Inform,infoworld.com.br, 1-9, 26-30, 10-99, $1M-$2.49M
111936530,INTEGRATI S,integrati.co, 1-9,-, 1-9, $500K-$999K
12452882,Procom It Solutions,procomitsolutions.com, 1-9, 11-15, 10-99, $1M-$2.49M
13108252,Caribbean Technology Solutions,caribtechsol.com, 1-9, 16-20, 1-9, $500K-$999K
12715037,ITS Group,itsgroup.com.br, 1-9, 21-25, 100-499, $10M-$24.9M
118621214,Albatross System,albatross.com.pl, 1-9, 16-20, 10-99, $1M-$2.49M
12452894,Datarecoveryns,datarecoveryns.com, 1-9, 04-05, 1-9, <$100K
15205419,Problem Solution Services,problemsolutionservices.com, 1-9, 04-05, 1-9, <$100K
12452916,Vs-sistemas,vssistemas.com.br, 1-9, 16-20, 1-9, <$100K
114951222,Augment,goaugment.io, 1-9, 09-10, 10-99, $1M-$2.49M
118621238,etracking - rastreabilidade de explosivos,etracking.com.br, 1-9, 11-15, 1-9, <$100K
12583995,COMDITEL,comditel.com.mx, 1-9, 06-08, 10-99, $1M-$2.49M
111805503,Dwsul Solucoes Em Informatica,dwplus.com.br, 1-9, 16-20, 1-9, <$100K
12715072,ISC,isc.cl, 1-9, 31+, 100-499, $10M-$24.9M
15205444,Rocking Chair Software,rockingchairsoftware.com, 1-9, 02-03, 10-99, $1M-$2.49M
118621252,atile.branding,atile.com.br, 1-9, 16-20, 10-99, $1M-$2.49M
111936582,Best Practices Consulting,bestpractices.com.mx, 1-9, 11-15, 10-99, $1M-$2.49M
111936583,CYBERLAND-TI,cyberland-ti.com, 1-9,-, 1-9, $500K-$999K
